Languages,1SG,cognacy,2SG,cognacy,3SG,cognacy,ant,cognacy,arm/hand,cognacy,ash,cognacy,big,cognacy,bird,cognacy,bite,cognacy,bitter,cognacy,black,cognacy,blood,cognacy,bone,cognacy,breast,cognacy,to burn (it.),cognacy,to carry (on back),cognacy,cloud,cognacy,to cry/weep,cognacy,to die,cognacy,to do/make,cognacy,dog,cognacy,drink,cognacy,dry,cognacy,ear,cognacy,eat,cognacy,egg,cognacy,eye,cognacy,far,cognacy,fat,cognacy,fingernail,cognacy,fire,cognacy,fish,cognacy,flesh/meat,cognacy,to fly,cognacy,full,cognacy,to give,cognacy,to go,cognacy,good,cognacy,hair on head,cognacy,hard,cognacy,head,cognacy,to hear,cognacy,heavy,cognacy,to hide,cognacy,to kill,cognacy,horn,cognacy,house,cognacy,in,cognacy,knee,cognacy,to know,cognacy,to laugh,cognacy,leaf,cognacy,leg/foot,cognacy,liver,cognacy,long,cognacy,louse,cognacy,moon,cognacy,mouth,cognacy,name,cognacy,navel,cognacy,neck,cognacy,new,cognacy,nose,cognacy,not,cognacy,old of things,cognacy,one,cognacy,path,cognacy,rain,cognacy,red,cognacy,root,cognacy,to run,cognacy,salt,cognacy,sand,cognacy,to say,cognacy,to see,cognacy,to sit,cognacy,skin/hide,cognacy,to sleep,cognacy,small,cognacy,smoke,cognacy,stand,cognacy,star,cognacy,stone/rock,cognacy,sun,cognacy,sweet,cognacy,tail,cognacy,to take,cognacy,thick,cognacy,this,cognacy,tongue,cognacy,tooth,cognacy,water,cognacy,what?,cognacy,white,cognacy,who?,cognacy,wind,cognacy,wing,cognacy,woman,cognacy,wood,cognacy,yesterday,cognacy
Singchung,go,1,no,1,oe,1,ʃiŋiŋ,2,wat,3,s-pije,2,e-boᵘ,2,fua,1,tʰok-mage,3,kʰoᵘ,2,e-saⁱ,2,e-fua,1,e-zeŋ,2,ɲeoː,1,ʃuⁱt,2,NA,,s-kə-moᵘ,3,ʧo-ma-ge,1,i-da,1,ret-ma-ge,1,ʧi,6,kʰo-ŋaŋ,3,e-gaᵘ,2,kʰõ,2,ʧə-mut,2,kʰe-re,5,mi-jak,2,rᵘaŋ,1,e-ju,1,bə-sen,1,boᵉ,1,ūa,1,e-pije,2,kʰe-ma-ge,3,li-ja,2,pʰi-mage,1,lua,3,a-vije,3,kʰa-zijaŋ,1,NA,,kʰɾuk,1,nu va-ma-ge,4,laⁱ,1,NA,,wa-ma-ge,1,e-rijaŋ,2,hõ,2,NA,,lə-spau,4,tʰek-ma-ge,3,ʧijo,2,e-rap,1,loᵉ,1,NA,,pʰijaŋ,2,NA,,ha-bije,1,s-pʰun,3,e-beŋ,1,NA,,e-jua,3,o-voᵘ,2,e-pʰuŋ,1,NA,,e-he,2,ʤijo,2,ləmua,1,ha-pʰije,3,e-ʃaik,1,e-raŋ,4,NA,,su-ruwa,3,bali,4,je-ma-ge,2,rək-ma-ge,3,duk-ma,2,e-kʰuk,1,mijen-ma-ge,2,ẽeᵘ,4,boᵉ-kʰaᵘ,1,riᵒ-ma,3,sa-dijoŋ,3,labaᵘ,2,ha-naⁱ,3,pʰi-jam,1,e-ɲoⁱ,1,tʰa-rija-ma-ge,2,NA,,e-hihi,3,iri,1,ʃiniŋ,3,kʰo,1,niwka,5,e-moᵘ,3,ha-niju,2,ha-sam,1,NA,,di-mi,1,hiŋ,1,di-jo,1
Wangho,ko,1,no,1,we,1,ʃiŋiŋ,2,wat,3,s-pije,2,e-boᵘ,2,fua,1,kʰrik,2,ekʰoᵘ,2,e-saⁱ,2,e-fua,1,e-zak,2,ɲeoː,1,haᵘ,1,NA,,s-kə-moᵘ,3,ʧo,1,iⁱ,1,ret,1,ʧaⁱ,6,naŋ,3,e-kaᵘ,2,kʰõ,2,ʧə-mut,2,kʰe-re,5,mi-jak,2,ruwaŋ,1,e-ju,1,pə-ʧi-jat,1,boᵉ,1,ūa,1,e-pije,2,kʰeⁱ,3,e-li-ja,2,pʰi,1,və-wa,1,a-vije,3,kʰa-zijaᵘ,1,NA,,ki-ja-tuŋ,3,nū-a,4,e-laⁱ,1,NA,,ua,1,e-rijok,2,hõ,2,NA,,la-kijuŋ,3,īt,2,ʧijo,2,rap,1,luᵉ,1,NA,,e-pʰijam,2,NA,,habije,1,ʃijam,2,e-beŋ,1,NA,,ja-pu,3,e-voŋ,2,e-pʰuŋ,1,NA,,e-hek,2,ʧo,2,ləmua,1,ha-pʰije,3,e-ʃek,1,e-raŋ,4,NA,,su-ruwa,3,bali,4,je,2,rək,3,tuk,2,e-kʰuk,1,mijen,2,e-juŋ,4,bu-kʰu,1,riᵒ,3,sa-tijoŋ,3,labaᵘ,2,ha-neⁱŋ,3,pʰi-jaŋ,1,e-ɲoⁱ,1,ɹije,2,NA,,he-pʰomono,3,ri,1,ʃinijat,3,kʰoᵘ,1,niw,5,e-moŋ,3,ha-ŋuŋ,2,ha-sam,1,NA,,bi-mi,1,hiŋ,1,di-jo,1
Bichom,go ~ gu,1,no,1,uwe,1,siiŋ,2,wat,3,s-pije,2,boᵘ,2,fua,1,tʰok-pʰa,3,kʰoᵘ,2,e-saⁱ/soⁱ,2,e-fua,1,e-zeŋ,2,niw,1,fũp-pʰa,3,NA,,ʧa-ka-maŋ,3,ʧoa-pʰa,1,i-pʰa,1,reʔ-pʰa,1,ʧoⁱ,6,naŋ-pʰa,3,e-gaᵘ,2,kʰõ,2,ʧə-mut,2,e-ri,5,mi-jak,2,rᵘaŋ,1,e-ju,1,bə-sen,1,boᵉ,1,u-ŋa,1,e-bije,2,kʰeⁱ,3,leⁱ,2,pʰi-pʰa,1,tʰe-vəə,1,a-vije,3,kʰa-zijaŋ,1,NA,,kʰɾuk,1,joⁱ-pʰa,3,laⁱ,1,NA,,ua-pʰa,1,e-rijaŋ,2,hõ,2,NA,,lə-spau,4,tʰe-jak-pa,3,ʃijaʔ,2,rap,1,luᵉ,1,NA,,pʰijaŋ,2,NA,,ha-bije,1,sem,2,e-beŋ,1,NA,,e-jua,3,e-wã,2,e-pʰuŋ,1,NA,,e-hek,2,ʤijo,2,ləmua,1,ha-pʰije,3,e-ʃaik,1,e-raŋ,4,NA,,su-rəja,3,bali,4,je-pʰa,2,rəg,3,duk,2,e-kʰuk,1,mijan-pʰa,2,e-juŋ,4,bam-kʰam,1,riᵒ,3,ta-dijaŋ,3,labaᵘ,2,ha-naⁱ,3,pʰi-jaŋ,1,e-ɲoⁱ,1,ɹeⁱ-pʰa,2,NA,,he-pʰomono,3,ri,1,ʃinijat,3,kʰoᵘ,1,niw,5,e-moᵘ,3,ha-niju,2,a-ʃam,1,NA,,bi-mi,1,hiŋ,1,di-jo,1
Kaspi,gu,1,no,1,tʰe,2,ʃiŋiŋ,2,wat,3,s-pije,2,boᵘ,2,fo,1,ʧi-pʰa,4,kʰoᵘ,2,soⁱ,2,nə-faⁱ,1,ni-zeŋ,2,dut,5,ʤi-jo-pʰa,4,NA,,ʧa-ka-maŋ,3,ʧoa-pʰa,1,i-dən,1,reⁱ-pʰa,1,ʧoⁱ,6,naŋ-pʰa,3,goᵘ,2,kʰõ,2,ʧə-mut,2,kʰe-re,5,mi-je,2,rᵘaŋ,1,e-jo,1,pə̌-sen,1,baⁱ,1,ūa,1,mə-bi,2,kʰeŋ-pʰa,3,leⁱ,2,pʰi-pʰa,1,dun,4,a-vije,3,kʰa-zijaŋ,1,NA,,kʰɾuk,1,nu-a-pʰa,4,laⁱ,1,NA,,ua-pʰa,1,e-rijaŋ,2,hõ,2,NA,,la-gijoŋ,3,it-pʰat,2,seʔ,2,rap,1,laⁱ,1,NA,,pʰijaŋ,2,NA,,ha-bije,1,sem,2,e-beŋ,1,NA,,jua,3,m-vəo,2,e-pʰuŋ,1,NA,,e-hek,2,ʤe,3,ləmua,1,ha-pʰije,3,ʃeⁱ,1,e-raŋ,4,NA,,su-ɹe,3,bali,4,si-pʰa,3,rek-pʰa,3,dək-mu,2,e-kʰuk,1,men,2,e-juŋ,4,baiŋ-kʰam,1,ʤoi,2,la-dijaŋ,3,labaᵘ,2,ha-naⁱ,3,pʰi-jaŋ,1,e-ɲoⁱ,1,je-pʰa,2,NA,,he-pʰomono,3,ri,1,ʃiniŋ,3,kʰoᵘ,1,nije,5,mõᵘ,3,ha-niju,2,ha-sam,1,NA,,hõa-mu,2,hiŋ,1,tʰə-mi-jaŋ,4
Namphri,go,1,no,1,oe,1,ʃiŋiŋ,2,wat,3,s-pije,2,boᵘ,2,fua,1,tʰok-pʰa,3,e-kʰoᵘ,2,e-sui,2,mə-faⁱ,1,e-zeŋ,2,niw,1,fu-pʰa,3,NA,,ʧa-ka-maŋ,3,ʧo,1,i-dun,1,ɾap-pʰa,1,ʧoⁱ,6,naŋ,3,nə-gou,2,kʰõ,2,ʧə-mut,2,kʰe-re,5,mi-jak,2,rᵘaŋ,1,e-jo,1,pə-ʃen,1,boᵉ,1,u-ŋə̄,1,e-bei,2,kʰeⁱ-pʰa,3,eleⁱ,2,pʰi,1,vəo-pʰa,1,a-vije,3,kʰa-zijaŋ,1,NA,,kʰɾuk,1,joⁱ,3,e-laⁱ,1,NA,,ua,1,e-rijaŋ,2,hõ,2,NA,,la-gijoŋ,3,it-pʰa,2,ʃeʔ-pʰa,2,rap,1,laⁱ,1,NA,,e-pʰijam,2,NA,,ha-bije,1,sem,2,e-beŋ,1,NA,,jua,3,e-vo,2,e-pʰuŋ,1,NA,,e-hek,2,ʤe,3,ləmua,1,ha-pʰije,3,e-ʃaik,1,e-raŋ,4,NA,,su-ruwa,3,bali,4,jo-pʰa,4,rək,3,duk-ma-ge,2,e-kʰuk,1,men-pʰa,2,iu,4,boᵉ-mo-kʰəm,1,ʤai-ma-ge,2,ta-dijaŋ,3,lubu,2,ha-naⁱ,3,pʰi-jaŋ,1,e-ɲoⁱ,1,lije,2,NA,,ʤije,4,ri,1,ʃiniŋ,3,kʰoᵘ,1,ɲijaga,5,e-moŋ,3,ha-niju,2,ha-sam,1,NA,,hõa-mua,2,hiŋ,1,di-jo,1
Bulu,guː,1,naː,1,vɛː,1,ʤam-ʤuʔ,1,geʔ,4,pʰa-rəp,3,a-raː,3,pə-duː,2,tɔʔ,3,a-ʧaʔ,1,a-hjɛN,3,a-hui,1,a-zɛN,2,a-njɛː,4,ham,5,ʒeN,3,sə-tɨː,2,ʧɛʔ,1,iː,1,ʦaʔ,2,buː,2,in,2,a-wɛN,1,a-kuiN,2,ʧiː,2,a-wuN,3,a-kəm,4,a-ʧoi,2,a-ʒɔː,1,a-geʔ gə-sɨn,1,bɛː,1,ʧui,2,ʃiː,1,kiː,3,ljɛː,2,taN,2,vuː,1,a-mjɛː,4,kə-zaN,1,a-ʃɔN,4,a-kuN,1,nɨŋ,4,a-lɨː,1,uʔ,1,wɛʔ,1,a-kjɛN,1,ham,2,a-lɨŋ,2,a-lɛː kə-peiʔ,5,dɛN,1,zɛː,1,a-ləp,1,a-lɛː,1,a-pʰiN,2,a-pjaN,2,ʃiʔ,2,haN-bɔː,1,a-səm,2,a-bjɛN,1,sim-bə-lui,1,kə-tuN-rin,1,a-fɛN,1,a-pʰuN,1,ba-,1,a-ʦɛN,3,tyi,4,lim,1,ham-piː,3,a-ʃiʔ,1,ʃiN-rin,4,rin,3,fəu,4,səm-pjɛː,6,riː,5,niŋ,4,rɨː,3,a-kuʔ,1,rəm,3,a-ziː,5,bɛ-kʰɨː,1,ʧin,1,haN-waiʔ,4,ka-lɨŋ,1,ha-mi,1,a-pin,3,a-nyi,1,leː,2,a-pən,3,hɨŋ,3,a-lyi,1,kə-tɔN,1,kʰɔː,1,hɛː,6,a-rjuN,4,mii,1,haN-ʃin,2,a-ʒuiN,3,mə-ruː,3,ʃiN,1,ʤi-rjɛ:,3
Kojo Rojo,go,1,naŋ,1,wai,1,gam-gɹu,1,geiʔ,4,bə-rəm,3,a-rai,3,pə-doː,2,tua,3,a-ʧuaʔ,1,a-hjeĩ,3,a-fui,1,a-ʒan,2,a-njei,4,ʤəu,4,ɹan,4,ka-dəu-sə,2,ʧap,1,iː,1,ʒou,3,buː,2,in,2,a-wan,1,a-kun,2,ʧiː,2,a-liː,5,a-kəm,4,a-ʧai,2,a-zjaː,1,gei-ʃin,1,bai,1,ʧui,2,mai,3,kɹei,3,jei,2,taŋ,2,wuː,1,a-njam,5,kə-zjaŋ,1,a-hɹan,5,a-kuŋ-bəː,1,nuŋ,4,a-lei,1,ɨʔ,1,aiʔ,1,a-kɹan,1,ham,2,a-loŋ,2,lai ka-pɹei,5,dan,1,zjei,1,hɨ̃-jəm,1,lai,1,a-pin,2,a-pɹaŋ,2,hɹɛ,1,ha-bu,1,səm,2,a-bɹɛn,1,roŋ-rei,1,tuŋ-rin,1,a-fan,1,a-puŋ,1,ba-,1,a-ʧjɛn,3,kjuː,2,lim,1,ham-pɹoː,3,a-hɨː,2,hɨ̃-rin,4,ren,3,fou,4,pan-ʧɨː-hɹɛː,6,rjoː,6,njəŋ,4,ʤao,1,a-kɨː,1,rəm,3,a-ziː,5,bai-kəː,1,ʧin,1,ha-daŋ,3,ka-hoŋ,1,ha-mi,1,a-pin,3,a-sərjam,2,lei,2,a-pen,3,həŋ,3,jui,1,kə-tuaŋ,1,kua,1,hai,6,a-rjuŋ,4,hoː,2,ha-hɹɨn,2,a-ʒun,3,a-mui,1,hɹɨn,1,rə-niː,2
Rawa,go,1,na,1,hoː,3,ga-mə-gɹoː,1,get,4,bai-rəp,3,a-rai,3,pə-doː,2,tua,3,a-ʧaː,1,a-hjɛĩ,3,fui,1,a-zaʔ,2,njɛi,4,ʤəu,4,bəu,1,toŋ-səu,2,ʧap,1,iː,1,kat,4,boː,2,in,2,a-wan,1,kot,2,ʧiː,2,tju-li,5,kəp,4,a-ʧai,2,a-zjaː,1,gə-sin,1,bai,1,ʧuei,2,mai,3,kei,3,ljɛi,2,taʔ,2,woː,1,a-njam,5,kə-zjaʔ,1,NA,,koʔ-bəu,1,noŋ,4,a-lei,1,əə,1,at,1,a-kɹɛt,1,ham,2,NA,,lai kə-rəʔ,6,dat,1,zei,1,hɨŋ-ləp,1,lai,1,a-pjet,2,a-pɹaŋ,2,hɛː,1,ha-nua,2,səp,2,a-bɹɛn,1,roː-rei,1,tõ-rɨn,1,a-faʲt,1,poŋ,1,ba-,1,a-ʧet,3,tjoː,2,lɨp,1,ham-pɹoː,3,a-rjuʔ,3,a-rɨŋ,4,rit,3,foː,4,pã-ʧɨʔ,6,rjoː,6,niŋ,4,tuŋ,2,a-kəː,1,rəp,3,a-jiŋ,4,bai-kɨː,1,ʧiŋ,1,sat,5,kə-bɹaː,3,ha-mi,1,a-pin,3,a-kə-doŋ,3,lei,2,a-piʔ,3,həŋ,3,lue,1,tuaŋ,1,kua,1,hai,6,a-rjuŋ,4,hoː,2,ha-hɨn,2,a-zuət,3,a-mui,1,hɨŋ,1,(prjoniː),
Saria,go,1,na,1,waː,1,gɹɛŋ-gɹo,1,geiʔ,4,bai-rəʔ,3,toʔ,1,pə-doː,2,tua,3,a-kjaː,1,a-hɛ̃,3,hue,1,a-zaiʔ,2,ɲɛː,4,ʤɨː,4,eiʔ,5,ka-tɨː-sɨː,2,kjaʔ,1,iː,1,kaiʔ,4,boː,2,riŋ,2,a-waiʔ,1,kuiʔ,2,ʧiː,2,mə-riː,5,kəʔ,4,kjeː,2,a-zua,1,gei-siŋ,1,bɛː,1,ɲoː,1,mə-reʔ,4,piʔ,1,lɛː,2,taŋ,2,uː,1,a-jɨː,6,kə-zaʔ,1,gaː,6,a-koʔ,1,roŋ,4,a-lei,1,rjaŋ-əː,1,aiʔ,1,a-kuaŋ,3,haʔ,2,a-raŋ,4,lɛː-kuŋ,7,daiʔ,1,zɛː,1,a-ləʔ,1,lai,1,a-piʔ,2,pɹaŋ,2,prɛː,3,aŋ-bo,1,səʔ,2,a-bɹɛŋ,1,rue-ri,1,kə-tjuŋ,1,a-faiʔ,1,poŋ,1,ba-,1,a-ʧeiʔ,3,ʧue,3,liʔ,1,haʔ-pɹo,3,a-rjuʔ,3,a-riŋ,4,riʔ,3,hoŋ,2,bɛɛ-ʧiʔ,6,jɔː,4,ɲɨː,4,tuŋ,2,a-kəː,1,rəʔ,3,ɲɛː-doː,6,bai-kɨː,1,ʧiŋ,1,saiʔ,5,kə-bɹaː,3,ha-mi,1,a-piŋ,3,ɲi-mɹɛː,4,rei,2,toʔ-rɨː,4,həŋ,3,lue,1,tuaŋ,1,kua,1,hai,6,a-rjuŋ,4,haː,2,a-huiʔ,3,mə-juiʔ,3,a-mui,1,hɹiŋ,1,bɹõrĩ,3
Chayangtajo,go,1,na,1,wɛː,1,gɹɛŋ-gɹo,1,geiʔ,4,bɛɛ-rak,3,kəlaː,4,pə-dou,2,tua,3,a-ʧaː,1,a-hjɛ̃,3,hue,1,a-zaiʔ,2,a-njɛː,4,jɨː,4,eiʔ,5,ka-təː,2,ʧap,1,iː,1,kaiʔ,4,kajoː,3,riŋ,2,a-waiʔ,1,(a)-kuiʔ,2,ʧiː,2,mə-riː,5,(a)-kək,4,a-ʧjeː,2,a-zua,1,gei-siʔ,1,bae,1,kahuaŋ,3,mə-rjeʔ,4,pjeʔ,1,ljɛː,2,taŋ,2,uː,1,a-njaŋ,5,kə-zak,1,a-kaː,6,a-kok,1,roŋ,4,a-lei,1,rou-gəə,2,aiʔ,1,ko-waŋ,3,ʧuk,3,a-ɹaŋ,4,ka-pɹei,5,daiʔ,1,ruɛ,3,a-ləʔ,1,(a)-lɛː,1,a-pjiʔ,2,a-pɹaŋ,2,pɹɛː,3,am-boː,1,səʔ,2,a-bɹɛŋ,1,rue-rei,1,kə-tuŋ,1,a-faiʔ,1,a-pok,1,ba-,1,a-ʧaiʔ,3,hui,5,puzuɛ,2,am-pɹuː,3,a-rjuk,3,a-reŋ,4,riʔ,3,hoŋ,2,pɹɛː-ʧeiʔ,6,luiʔ,7,ʤei,5,tuŋ,2,a-kəː,1,rəm,3,kə-siʔ,7,bɛː-kɨː,1,ʧiŋ,1,pə-ʤaiʔ,6,kə-bɹaː,3,kriː,2,a-piŋ,3,ni-mɹɛː,4,rei,2,a-piʔ,3,həŋ,3,a-rue,1,kə-tuaŋ,1,kua,1,hiː,7,a-rjuŋ,4,haː,2,aŋ-huiʔ,3,a-juiʔ,3,a-mui,1,hɹeŋ,1,bjariː,3
Lasumpatte,go,1,na,1,wɛː,1,gɹɛŋ-gɹo,1,geiʔ,4,bɛɛ-rak,3,kəlaː,4,pə-dou,2,tua,3,a-ʧjaː,1,a-hjɛ̃,3,hue,1,a-ʤaiʔ,2,a-njɛː,4,ʤɨː,4,ek,5,ka-təː,2,ʧjap,1,iː,1,kaiʔ,4,kajoː,3,riŋ,2,a-waiʔ,1,(a)-kuiʔ,2,ʧiː,2,mə-riː,5,(a)-kək,4,a-ʧjeː,2,a-ʤua,1,gei-siʔ,1,bɛː,1,kahuaŋ,3,mə-rjeʔ,4,pjiʔ,1,ljɛː,2,taŋ,2,uː,1,a-njaŋ,5,kə-ʤak,1,a-kaː,6,a-kok,1,roŋ,4,a-lei,1,rou-gəə,2,aiʔ,1,ko-waŋ,3,ʧuk,3,aŋ-ɹaŋ,4,ka-pei,5,daiʔ,1,ruɛ,3,a-ləʔ,1,(a)-lɛː,1,a-pjiʔ,2,a-pɹaŋ,2,pɹɛː,3,am-boː,1,səʔ,2,a-bɹɛŋ,1,rue-rei,1,kə-tjuŋ,1,a-faiʔ,1,a-pok,1,ba-,1,a-ʧaiʔ,3,hui,5,puzuɛ,2,am-pjuː,3,a-rjuk,3,a-reŋ,4,riʔ,3,hoŋ,2,pjɛː-ʧeʔ,6,luiʔ,7,ʤei,5,tuŋ,2,a-kəː,1,rəm,3,kə-siʔ,7,bɛː-kɨː,1,ʧiŋ,1,pə-ʤaiʔ,6,kə-bɹaː,3,kriː,2,a-piŋ,3,ni-mɹɛː,4,rei,2,a-piʔ,3,həŋ,3,a-rue,1,kə-tuaŋ,1,kua,1,hiː,7,a-rjuŋ,4,haː,2,aŋ-huiʔ,3,a-wiʔ,4,a-mui,1,hjeŋ,1,bjariː,3
ZMYYC,goh⁵³,1,nah⁵³,1,væ³³,1,gɹɛn³³-gɹo⁵³,1,geʈ³³,4,bæ³³-ɣək³³,3,a³³-bua³³,2,pə³³-tu³³,2,tua⁵³,3,a³³-bio⁵³,3,a³³-ɦiɛ⁵³,3,hue⁵³,1,NA,,a³³-niɛ¹¹,4,NA,,ɣəȶ³³,5,kə³³-tɯ³³,2,ciak⁵³,1,ji³³,1,kaʈ³³,4,boh⁵³,2,rin³³,2,a³³-vəʴʈ³³,1,a³³-kuʈ³³,2,ʨih⁵³,2,mə³³-ri³³,5,kək³³,4,a³³-ciɛ³³,2,a³³-ʑua¹¹,1,geʈ³³-ɕit³³,1,bæ³³,1,ka³³fuaŋ⁵³,3,mə³³-ri³³,4,pie³³,1,liɛ³³,2,taŋ³³,2,u³³,1,a³³-niaŋ¹¹,5,kə³³-ʑak³³,1,a³³-siet³³,7,ko⁵³,1,ɣɔŋ (!),4,a³³-lei³³,1,ɣɯ³³-ɣə⁵³,2,waʴt³³,1,a³³-kə-vuaŋ³³,3,ʨok³³,3,a³³-ɹaŋ⁵³,4,NA,,daʈ³³,1,ɣuɛ³³,3,heʴn³³-lɯk³³,1,læ³³,1,a³³-pie⁵³,2,a³³-pɹaŋ⁵³,2,pə³³ɣæ⁵³,3,aŋ³³-bo³³,1,mə³³luʈ³³,4,a³³-bɛʴŋ³³,1,NA,,kə³³-tuoŋ³³,1,a³³-faʈ³³,1,pɔk³³,1,ba³³-,1,a³³-ʨɛt³³,3,ɦui³³,5,pə³³zuɛ³³,2,aŋ³³-pru⁵³,3,a³³-jiʈ³³,4,heʴn³³-kuŋ³³,5,riʈ³³,3,hɔŋ³³,2,pɹæʳ³³-ʦət³³,6,luȶ⁵³,7,ŋua³³/daȶ³³,6,toŋ³³,2,a³³-kə⁵³,1,ɣəŋ³³,3,ciaŋ³³,3,bæ³³-kɯ³³,1,cin³³-pua¹¹,1,ha³³-ɣat⁵³,7,kə³³-pɔʳ³³,3,kə³³ri³³,2,a³³-piŋ³³,3,a³³-ɲuk³³kuaŋ³³,1,ɣei³³,2,a³³-piʈ³³,3,həŋ³³,3,rye³³,1,kə³³-tuaŋ³³,1,kua³³,1,hi⁵³ɟeh⁵³,7,a³³-rioŋ³³,4,ha³³,2,aŋ³³-huʈ⁵³,3,a³³-juʈ³³,3,a³³-mui⁵³,1,heʴn³³,1,bie³³ri⁵³,3
Li Daqin,goh⁵⁵,1,na⁵⁵,1,vaʳ⁵⁵,1,gran³¹-koʳ⁵³,1,giᵗ⁵⁵,4,bæ³³-ɣəh⁵³,3,a³¹-bua⁵⁵,2,pɯ³¹-tu⁵⁵,2,tua⁵⁵,3,a³¹-ʥiu⁵³,1,a³³-ɦam⁵⁵,3,hui⁵³,1,a³¹-zai⁵⁵,2,a³³-niɛ¹¹,4,ɕi⁵⁵,6,NA,,kə³¹-tɯ⁵⁵,2,ciaᵏ⁵³,1,ji⁵⁵,1,kaᵗ⁵⁵,4,boh⁵³,2,ɣliŋ⁵⁵,2,a³¹-vaʳᵗ⁵⁵,1,mɯ³¹-kui⁵³,2,ʨih⁵³,2,mɯ³¹-ɬi⁵⁵,5,a³¹-gɯᵏ⁵⁵,4,a³¹-cie⁵⁵,2,mɯ³¹-ʑua⁵⁵,1,giᵗ³³-ɕiᵗ⁵³,1,bæ⁵⁵,1,ka³³fuaŋ⁵³,3,mɯ³¹-ɬiᵏ⁵⁵,4,pie⁵⁵,1,lian³³,2,taŋ⁵⁵,2,wu⁵⁵,1,a³¹-ɲiaŋ⁵⁵,5,kau³¹-ʑiaᵏ⁵⁵,1,a³¹-ga⁵⁵,6,a³¹-kau⁵³,1,ɣaŋ⁵⁵,4,a³¹-lei⁵⁵,1,ʣa³³-ɣə⁵³-doŋ⁵-⁵ɣə⁵³,2,waʳᵗ⁵⁵,1,a³¹-vaŋ⁵³,3,ʨauᵏ⁵³,3,a³¹-raŋ⁵³,4,mə³¹-lai⁵⁵kə³¹-pei⁵³,5,daᵗ⁵⁵,1,ɣue⁵⁵,3,a³¹-lɯᵏ⁵³,1,a³¹-ʦæ⁵³,2,a³¹-pie⁵³,2,a³¹-pɹaŋ⁵⁵,2,pɯ³¹ɣai⁵³,3,aŋ³³-bo⁵⁵,1,ɕəʳᵏ⁵⁵,2,a³¹-braŋ⁵³,1,a³¹-ɬɯi⁵⁵,2,kɯ³¹-toŋ⁵⁵,1,a³¹-fuaᵗ⁵⁵,1,a³¹pauᵏ⁵⁵,1,ba³¹-,1,a³¹-ʨeᵗ⁵⁵,3,çun⁵⁵,6,pɯ³¹zuai⁵⁵,2,aŋ³³-pru⁵³,3,a³³-jiˀ⁵⁵,4,a³¹-koŋ⁵⁵,5,ʑei⁵⁵,5,hoŋ⁵⁵,2,paʳ⁵⁵-ʦeʳ³³,6,ɬuiᵗ⁵³,7,ŋwa⁵⁵daᵗ³³,6,toŋ⁵⁵,2,a³¹-kə⁵³,1,ɣəŋ⁵⁵,3,ʥiaŋ⁵⁵,3,bæ³³-kɯ⁵⁵,1,cin⁵⁵,1,ha³¹-ɣai⁵³,7,kə³¹-paʳ⁵⁵,3,kəʳ³¹ri⁵⁵,2,a³¹-pin⁵⁵,3,a³¹-ɲiu⁵⁵kuaŋ⁵⁵,1,ɣei⁵⁵,2,a³¹-piᵗ⁵³,3,həŋ⁵⁵,3,a³¹-lye⁵⁵,1,kɯ³¹-tuaŋ⁵⁵,1,kua⁵⁵,1,hi⁵⁵,7,a³¹-ɬioŋ⁵⁵,4,ha⁵⁵,2,aŋ³³-xɯᵗ⁵⁵,3,a³¹-jəuᵗ⁵⁵,3,bi⁵⁵-a³¹-mui⁵³,1,hren⁵⁵,1,bie³³ɬi⁵³,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
